IdOsoby;Imie;Nazwisko;NrRejestracyjny
1;Echo;Ayala;FVX4190
2;Nolan;Stein;DUG5882
3;Lee;Joseph;TBG6984
4;Maria;Kowalski;ABC1234
5;Jan;Nowak;XYZ9876
6;Anna;Lewandowski;QWE4567
7;Piotr;Zielinski;ASD8901
8;Katarzyna;Kaminski;ZXC2345
9;Krzysztof;Dabrowski;VBN6789
10;Magdalena;Wlodarczyk;QAZ0123
11;Tomasz;Szymanski;WSX4567
12;Joanna;Grabowski;EDC8901
13;Rafal;Michalski;RFV2345
14;Beata;Nawrocki;TGH6789
15;Marek;Okonski;YUJ0123
16;Agnieszka;Pajak;KIL4567
17;Marcin;Radecki;OPL8901
18;Izabela;Sawicki;IOP2345
19;Lukasz;Tarasiuk;UYT6789
20;Marta;Urbanczyk;HGF0123
